,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
358,603.0,1342.0,537.0,1553.0,401.0,1225.0,664.0,1187.0,463.0,1431.0,618.0,1410.0,1477,1882,591,1345,4245,3193,0
359,603.0,1342.0,537.0,1555.0,400.0,1222.0,665.0,1183.0,460.0,1431.0,618.0,1409.0,1526,1914,592,1344,4188,3172,0
360,608.0,1339.0,541.0,1555.0,405.0,1221.0,664.0,1184.0,465.0,1430.0,618.0,1408.0,1534,1855,596,1342,3741,2763,0
361,603.0,1341.0,539.0,1553.0,401.0,1225.0,663.0,1185.0,464.0,1430.0,618.0,1408.0,1492,1875,592,1344,4009,2962,0
362,607.0,1337.0,539.0,1554.0,406.0,1222.0,664.0,1187.0,466.0,1428.0,618.0,1408.0,1493,1835,595,1341,3902,2900,0
363,606.0,1343.0,543.0,1554.0,402.0,1226.0,663.0,1183.0,462.0,1430.0,621.0,1407.0,1522,1899,594,1344,3923,2874,0
364,613.0,1343.0,551.0,1554.0,403.0,1224.0,670.0,1179.0,468.0,1433.0,629.0,1407.0,1559,1919,600,1344,4547,3347,0
365,614.0,1348.0,551.0,1554.0,403.0,1226.0,671.0,1181.0,468.0,1433.0,630.0,1407.0,1559,1960,600,1347,4497,3336,0
366,613.0,1347.0,553.0,1554.0,401.0,1229.0,668.0,1179.0,468.0,1434.0,632.0,1406.0,1557,1948,600,1346,4488,3251,0
367,614.0,1345.0,553.0,1552.0,404.0,1227.0,670.0,1179.0,470.0,1432.0,632.0,1405.0,1548,1938,601,1345,4383,3184,0
368,608.0,1347.0,549.0,1553.0,400.0,1230.0,670.0,1184.0,467.0,1434.0,630.0,1409.0,1484,1945,595,1348,5437,4107,0
369,610.0,1345.0,552.0,1553.0,401.0,1228.0,670.0,1182.0,469.0,1433.0,633.0,1406.0,1505,1934,597,1346,5450,4064,0
370,610.0,1343.0,550.0,1552.0,401.0,1225.0,669.0,1181.0,466.0,1431.0,628.0,1406.0,1515,1919,596,1344,4982,3709,0
371,609.0,1341.0,546.0,1551.0,404.0,1224.0,666.0,1181.0,468.0,1428.0,625.0,1404.0,1523,1895,597,1342,3994,2907,0
372,608.0,1341.0,547.0,1552.0,404.0,1224.0,665.0,1181.0,468.0,1427.0,625.0,1404.0,1528,1886,597,1342,4007,2908,0
373,607.0,1342.0,548.0,1553.0,402.0,1225.0,665.0,1180.0,468.0,1429.0,627.0,1404.0,1535,1899,597,1342,4216,3057,0
374,611.0,1339.0,545.0,1554.0,406.0,1221.0,666.0,1180.0,466.0,1432.0,621.0,1408.0,1561,1868,599,1341,3698,2701,0
375,610.0,1337.0,545.0,1552.0,405.0,1222.0,666.0,1181.0,467.0,1429.0,623.0,1406.0,1522,1859,597,1340,4037,2953,0
376,613.0,1337.0,549.0,1555.0,405.0,1222.0,667.0,1178.0,469.0,1431.0,627.0,1407.0,1563,1859,601,1340,4150,3010,0
377,610.0,1339.0,549.0,1551.0,402.0,1222.0,667.0,1177.0,466.0,1428.0,627.0,1403.0,1543,1902,598,1340,4376,3196,0
378,612.0,1337.0,547.0,1551.0,406.0,1221.0,666.0,1180.0,469.0,1428.0,624.0,1405.0,1533,1852,599,1339,3915,2840,0
379,607.0,1341.0,547.0,1552.0,403.0,1224.0,662.0,1180.0,467.0,1427.0,624.0,1403.0,1538,1876,597,1341,3784,2707,0
380,608.0,1338.0,544.0,1552.0,404.0,1221.0,665.0,1181.0,465.0,1428.0,622.0,1406.0,1525,1866,596,1340,4088,3010,0
381,609.0,1339.0,545.0,1551.0,404.0,1222.0,665.0,1182.0,468.0,1427.0,623.0,1405.0,1515,1863,597,1340,4061,2970,0
382,604.0,1341.0,543.0,1551.0,399.0,1225.0,663.0,1183.0,464.0,1427.0,622.0,1404.0,1486,1891,592,1342,4399,3240,0
383,606.0,1342.0,546.0,1550.0,400.0,1224.0,666.0,1179.0,464.0,1429.0,625.0,1404.0,1518,1924,594,1343,4409,3246,0
384,607.0,1342.0,541.0,1556.0,404.0,1224.0,667.0,1183.0,465.0,1430.0,622.0,1407.0,1539,1915,597,1345,3937,2932,0
385,607.0,1340.0,541.0,1556.0,405.0,1222.0,666.0,1182.0,464.0,1430.0,621.0,1408.0,1547,1892,597,1343,3882,2890,0
386,604.0,1343.0,542.0,1551.0,400.0,1224.0,667.0,1181.0,464.0,1429.0,621.0,1405.0,1515,1936,594,1344,4164,3096,0
387,606.0,1337.0,542.0,1552.0,404.0,1217.0,667.0,1180.0,462.0,1426.0,620.0,1405.0,1536,1887,596,1339,4232,3189,0
388,605.0,1341.0,542.0,1549.0,402.0,1219.0,666.0,1180.0,463.0,1427.0,620.0,1405.0,1525,1907,594,1341,4115,3073,0
389,604.0,1341.0,539.0,1548.0,402.0,1219.0,664.0,1180.0,461.0,1427.0,616.0,1405.0,1526,1905,593,1341,3699,2738,0
390,602.0,1342.0,540.0,1548.0,399.0,1223.0,663.0,1183.0,464.0,1426.0,619.0,1405.0,1479,1894,591,1342,4222,3131,0
391,601.0,1341.0,540.0,1549.0,400.0,1222.0,661.0,1182.0,463.0,1425.0,619.0,1404.0,1496,1884,591,1341,4006,2945,0
392,606.0,1335.0,547.0,1548.0,402.0,1221.0,663.0,1176.0,469.0,1423.0,626.0,1399.0,1521,1863,596,1336,4046,2891,0
393,604.0,1339.0,541.0,1544.0,402.0,1221.0,664.0,1179.0,465.0,1423.0,619.0,1400.0,1494,1904,593,1340,3685,2666,0
394,604.0,1337.0,538.0,1544.0,403.0,1219.0,664.0,1182.0,463.0,1420.0,617.0,1400.0,1470,1888,592,1339,3833,2838,0
395,605.0,1334.0,540.0,1546.0,406.0,1219.0,663.0,1181.0,464.0,1421.0,618.0,1400.0,1487,1857,594,1337,3622,2640,0
396,606.0,1334.0,540.0,1541.0,407.0,1216.0,663.0,1181.0,464.0,1418.0,616.0,1398.0,1475,1854,594,1335,3506,2551,0
397,602.0,1336.0,536.0,1539.0,403.0,1217.0,662.0,1181.0,462.0,1418.0,613.0,1398.0,1457,1879,590,1337,3510,2558,0
398,602.0,1333.0,540.0,1541.0,402.0,1216.0,663.0,1179.0,462.0,1418.0,617.0,1397.0,1463,1867,590,1335,4005,2951,0
