,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
111,444.0,1114.0,474.0,1261.0,416.0,1041.0,559.0,1054.0,433.0,1173.0,525.0,1180.0,37,1209,447,1122,-2198,6152,0
112,445.0,1114.0,474.0,1262.0,416.0,1041.0,560.0,1054.0,433.0,1173.0,526.0,1180.0,37,1209,447,1122,-2308,6490,0
113,444.0,1114.0,473.0,1261.0,416.0,1043.0,559.0,1054.0,433.0,1173.0,525.0,1180.0,44,1199,447,1121,-2226,6205,0
114,447.0,1114.0,475.0,1260.0,416.0,1042.0,561.0,1054.0,433.0,1173.0,526.0,1179.0,54,1203,449,1121,-2020,6091,0
115,446.0,1113.0,473.0,1260.0,415.0,1041.0,560.0,1054.0,432.0,1172.0,525.0,1180.0,50,1205,448,1121,-2048,6115,0
116,445.0,1114.0,471.0,1259.0,414.0,1041.0,558.0,1054.0,431.0,1172.0,524.0,1179.0,49,1204,446,1121,-1982,5853,0
117,446.0,1113.0,473.0,1259.0,413.0,1042.0,560.0,1053.0,432.0,1173.0,526.0,1179.0,63,1199,449,1120,-2017,6501,0
118,445.0,1114.0,472.0,1260.0,414.0,1042.0,559.0,1054.0,432.0,1173.0,525.0,1179.0,52,1201,447,1121,-2083,6209,0
119,443.0,1115.0,472.0,1259.0,412.0,1043.0,558.0,1053.0,431.0,1173.0,525.0,1179.0,54,1202,446,1121,-1983,6062,0
120,442.0,1115.0,471.0,1260.0,413.0,1043.0,556.0,1054.0,431.0,1173.0,523.0,1179.0,45,1204,445,1122,-2052,5925,0
121,443.0,1115.0,471.0,1258.0,412.0,1042.0,558.0,1054.0,430.0,1172.0,523.0,1179.0,59,1204,446,1121,-1858,5889,0
122,444.0,1115.0,472.0,1259.0,412.0,1043.0,558.0,1054.0,430.0,1173.0,524.0,1179.0,61,1204,447,1121,-1872,6044,0
123,445.0,1115.0,473.0,1259.0,413.0,1043.0,558.0,1055.0,431.0,1173.0,525.0,1180.0,62,1210,448,1122,-1733,5707,0
124,445.0,1114.0,472.0,1258.0,412.0,1044.0,558.0,1055.0,431.0,1173.0,525.0,1179.0,77,1200,448,1121,-1602,5558,0
125,445.0,1115.0,472.0,1258.0,413.0,1043.0,558.0,1055.0,431.0,1173.0,524.0,1179.0,65,1203,448,1122,-1723,5585,0
126,447.0,1114.0,474.0,1258.0,413.0,1047.0,558.0,1053.0,433.0,1173.0,526.0,1178.0,80,1191,450,1121,-1643,5590,0
127,447.0,1112.0,473.0,1259.0,415.0,1045.0,559.0,1054.0,433.0,1173.0,526.0,1178.0,72,1186,450,1120,-1852,5796,0
128,446.0,1113.0,475.0,1260.0,414.0,1045.0,559.0,1054.0,433.0,1174.0,527.0,1180.0,69,1199,450,1122,-1845,6081,0
129,447.0,1114.0,475.0,1260.0,415.0,1044.0,559.0,1055.0,433.0,1174.0,526.0,1180.0,62,1206,449,1122,-1792,5701,0
130,446.0,1115.0,474.0,1259.0,417.0,1042.0,559.0,1056.0,433.0,1172.0,524.0,1180.0,50,1210,448,1122,-1771,5232,0
131,445.0,1115.0,473.0,1261.0,415.0,1042.0,559.0,1054.0,433.0,1173.0,525.0,1180.0,41,1207,447,1122,-2155,6151,0
132,445.0,1114.0,474.0,1261.0,415.0,1044.0,559.0,1054.0,434.0,1174.0,526.0,1180.0,52,1201,448,1122,-2106,6207,0
133,444.0,1114.0,475.0,1261.0,416.0,1044.0,559.0,1055.0,434.0,1174.0,526.0,1180.0,52,1203,448,1122,-2025,5988,0
134,445.0,1114.0,475.0,1261.0,416.0,1044.0,560.0,1054.0,434.0,1174.0,527.0,1180.0,53,1199,449,1122,-2153,6373,0
135,448.0,1113.0,477.0,1261.0,416.0,1043.0,563.0,1053.0,435.0,1174.0,530.0,1179.0,63,1199,452,1121,-2213,7093,0
136,448.0,1114.0,476.0,1261.0,418.0,1042.0,562.0,1054.0,435.0,1173.0,529.0,1180.0,50,1205,450,1122,-2138,6292,0
137,449.0,1112.0,478.0,1260.0,419.0,1042.0,564.0,1053.0,437.0,1173.0,529.0,1179.0,56,1196,452,1120,-2174,6396,0
138,450.0,1113.0,478.0,1260.0,418.0,1042.0,565.0,1053.0,436.0,1173.0,530.0,1179.0,63,1198,453,1121,-2127,6683,0
139,450.0,1113.0,479.0,1262.0,423.0,1041.0,565.0,1055.0,437.0,1174.0,527.0,1182.0,37,1201,451,1122,-2288,5954,0
140,451.0,1115.0,480.0,1261.0,422.0,1041.0,566.0,1055.0,438.0,1174.0,529.0,1181.0,45,1208,453,1122,-2125,5970,0
141,452.0,1114.0,481.0,1262.0,422.0,1042.0,566.0,1055.0,438.0,1175.0,530.0,1182.0,50,1204,454,1122,-2232,6367,0
142,452.0,1114.0,481.0,1261.0,421.0,1042.0,566.0,1054.0,439.0,1175.0,530.0,1181.0,51,1207,454,1122,-2115,6163,0
143,452.0,1113.0,481.0,1261.0,421.0,1043.0,567.0,1054.0,439.0,1175.0,532.0,1181.0,63,1198,455,1122,-2180,6665,0
144,453.0,1113.0,482.0,1262.0,421.0,1043.0,568.0,1052.0,440.0,1174.0,533.0,1180.0,58,1197,455,1121,-2492,7412,0
145,454.0,1113.0,482.0,1261.0,420.0,1043.0,568.0,1053.0,440.0,1174.0,533.0,1180.0,68,1203,456,1121,-2064,6701,0
