,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y
203,626.0,1334.0,560.0,1558.0,426.0,1221.0,683.0,1185.0,486.0,1430.0,640.0,1409.0,1556,1829,616,1340,4462,3309
204,625.0,1334.0,561.0,1558.0,426.0,1222.0,683.0,1185.0,487.0,1430.0,641.0,1409.0,1549,1825,616,1340,4551,3361
205,626.0,1333.0,559.0,1558.0,430.0,1220.0,680.0,1188.0,485.0,1426.0,640.0,1408.0,1543,1800,616,1339,4192,3109
206,625.0,1334.0,560.0,1556.0,426.0,1222.0,684.0,1184.0,486.0,1429.0,641.0,1408.0,1543,1845,615,1340,4518,3356
207,625.0,1333.0,561.0,1554.0,425.0,1223.0,685.0,1184.0,485.0,1427.0,642.0,1406.0,1516,1853,614,1340,4914,3670
208,627.0,1333.0,563.0,1554.0,426.0,1224.0,684.0,1184.0,486.0,1427.0,644.0,1405.0,1518,1844,615,1340,4765,3513
209,626.0,1334.0,562.0,1556.0,425.0,1223.0,684.0,1183.0,485.0,1429.0,643.0,1407.0,1543,1852,615,1340,4743,3512
210,625.0,1335.0,561.0,1557.0,424.0,1224.0,683.0,1185.0,486.0,1430.0,642.0,1408.0,1534,1842,614,1341,4762,3521
211,627.0,1334.0,565.0,1553.0,425.0,1225.0,685.0,1183.0,487.0,1427.0,646.0,1404.0,1514,1859,615,1340,5003,3685
212,627.0,1335.0,563.0,1557.0,426.0,1224.0,685.0,1184.0,486.0,1429.0,644.0,1407.0,1545,1859,616,1341,4744,3518
213,627.0,1334.0,564.0,1555.0,425.0,1225.0,685.0,1185.0,487.0,1427.0,646.0,1405.0,1509,1851,614,1341,5259,3906
214,626.0,1336.0,562.0,1558.0,428.0,1224.0,683.0,1186.0,487.0,1429.0,643.0,1408.0,1548,1841,616,1342,4371,3222
215,626.0,1336.0,560.0,1561.0,426.0,1222.0,683.0,1186.0,486.0,1433.0,640.0,1412.0,1571,1830,616,1342,4467,3318
216,626.0,1335.0,562.0,1558.0,427.0,1223.0,684.0,1186.0,487.0,1429.0,643.0,1408.0,1542,1838,616,1341,4681,3474
217,627.0,1334.0,562.0,1556.0,428.0,1223.0,684.0,1186.0,486.0,1427.0,643.0,1406.0,1529,1841,616,1341,4572,3392
218,628.0,1334.0,564.0,1556.0,427.0,1224.0,686.0,1184.0,487.0,1427.0,646.0,1405.0,1534,1861,616,1341,4882,3626
219,628.0,1335.0,564.0,1555.0,427.0,1224.0,687.0,1184.0,486.0,1427.0,647.0,1405.0,1528,1878,616,1341,5096,3820
220,627.0,1335.0,563.0,1557.0,429.0,1224.0,685.0,1186.0,487.0,1429.0,644.0,1407.0,1538,1848,617,1342,4514,3342
221,628.0,1334.0,564.0,1556.0,428.0,1224.0,687.0,1185.0,488.0,1427.0,646.0,1406.0,1527,1856,617,1341,4982,3718
222,629.0,1337.0,568.0,1557.0,428.0,1224.0,683.0,1184.0,488.0,1429.0,646.0,1406.0,1564,1841,619,1341,4426,3209
223,627.0,1340.0,565.0,1557.0,427.0,1225.0,682.0,1184.0,486.0,1429.0,642.0,1406.0,1576,1870,618,1343,3954,2868
224,630.0,1334.0,567.0,1556.0,429.0,1224.0,687.0,1184.0,489.0,1426.0,649.0,1405.0,1536,1853,618,1340,5070,3755
225,630.0,1333.0,567.0,1556.0,429.0,1224.0,687.0,1184.0,489.0,1427.0,647.0,1405.0,1536,1845,618,1340,4857,3578
226,630.0,1336.0,567.0,1557.0,428.0,1226.0,689.0,1185.0,490.0,1430.0,648.0,1408.0,1533,1864,618,1343,5206,3875
227,631.0,1335.0,567.0,1556.0,429.0,1224.0,687.0,1185.0,491.0,1429.0,647.0,1408.0,1539,1835,619,1341,4884,3596
